ORDERNUMBER,CUSTOMERNAME,SALES,DAYS_SINCE_LASTORDER
10107,Land of Toys Inc.,2871.0,828
10121,Reims Collectables,2765.9,757
10134,Lyon Souveniers,3884.34,703
10145,Toys4GrownUps.com,3746.7,649
10168,Technics Stores Inc.,3479.76,586
10180,Daedalus Designs Imports,2497.77,573
10188,Herkku Gifts,5512.32,567
10211,Auto Canal Petit,4708.44,510
10223,"Australian Collectors, Co.",3965.66,475
10237,Vitachrome Inc.,2333.12,432
10251,Tekni Collectables Inc.,3188.64,390
10263,Gift Depot Inc.,3676.76,350
10275,La Rochelle Gifts,4177.35,326
10285,Marta's Replicas Co.,4099.68,292
10299,"Toys of Finland, Co.",2597.39,259
10309,Baane Mini Imports,4394.38,245
10318,Diecast Classics Inc.,4358.04,228
10329,Land of Toys Inc.,4396.14,216
10341,Salzburg Collectables,7737.93,208
10361,Souveniers And Things Co.,1451.0,186
10375,La Rochelle Gifts,733.11,139
10388,FunGiftIdeas.com,3207.12,111
10403,"UK Collectables, Ltd.",2434.56,76
10417,Euro Shopping Channel,7516.08,42
10103,Baane Mini Imports,5404.62,878
10112,"Volvo Model Replicas, Co",7209.11,825
10126,"Corrida Auto Replicas, Ltd",7329.06,761
10140,Technics Stores Inc.,7374.1,705
10150,"Dragon Souveniers, Ltd.",10993.5,649
10163,Classic Legends Inc.,4860.24,619
10174,"Australian Gift Network, Co",8014.82,603
10183,"Classic Gift Ideas, Inc",5372.57,597
10194,"Saveley & Henriot, Co.",7290.36,586
10206,Canadian Gift Exchange Network,9064.89,577
10215,West Coast Collectables Co.,6075.3,523
10228,Cambridge Collectables Co.,6463.23,484
10245,Super Scale Inc.,6120.34,430
10258,"Tokyo Collectables, Ltd",7680.64,389
10270,Souveniers And Things Co.,4905.39,356
10280,Amica Models & Co.,8014.82,328
10291,Scandinavian Gift Ideas,7136.19,307
10304,Auto Assoc. & Cie.,10172.7,275
10312,Mini Gifts Distributors Ltd.,11623.7,266
10322,Online Diecast Creations Co.,6000.4,253
10347,"Australian Collectors, Co.",3944.7,229
10357,Mini Gifts Distributors Ltd.,5691.84,219
10369,Collectables For Less Inc.,4514.92,179
10391,"Anna's Decorations, Ltd",2416.56,131
10411,Quebec Home Shopping Network,4140.23,79
10424,Euro Shopping Channel,12001.0,50
10107,Land of Toys Inc.,3896.49,878
10120,"Australian Collectors, Co.",2793.86,815
10134,Lyon Souveniers,3307.77,753
10145,Toys4GrownUps.com,5192.95,699
