ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES
10107,S10_1678,2018-02-24,30,95.7,2871.0
10121,S10_1678,2018-05-07,34,81.35,2765.9
10134,S10_1678,2018-07-01,41,94.74,3884.34
10145,S10_1678,2018-08-25,45,83.26,3746.7
10168,S10_1678,2018-10-28,36,96.66,3479.76
10180,S10_1678,2018-11-11,29,86.13,2497.77
10188,S10_1678,2018-11-18,48,114.84,5512.32
10211,S10_1678,2019-01-15,41,114.84,4708.4400000000005
10223,S10_1678,2019-02-20,37,107.18,3965.66
10237,S10_1678,2019-04-05,23,101.44,2333.12
10251,S10_1678,2019-05-18,28,113.88,3188.64
10263,S10_1678,2019-06-28,34,108.14,3676.76
10275,S10_1678,2019-07-23,45,92.83,4177.35
10285,S10_1678,2019-08-27,36,113.88,4099.68
10299,S10_1678,2019-09-30,23,112.93,2597.3900000000003
10309,S10_1678,2019-10-15,41,107.18,4394.38
10318,S10_1678,2019-11-02,46,94.74,4358.04
10329,S10_1678,2019-11-15,42,104.67,4396.14
10341,S10_1678,2019-11-24,41,188.73,7737.929999999999
10361,S10_1678,2019-12-17,20,72.55,1451.0
10375,S10_1678,2020-02-03,21,34.91,733.1099999999999
10388,S10_1678,2020-03-03,42,76.36,3207.12
10403,S10_1678,2020-04-08,24,101.44,2434.56
10417,S10_1678,2020-05-13,66,113.88,7516.08
10103,S10_1949,2018-01-29,26,207.87,5404.62
10112,S10_1949,2018-03-24,29,248.59,7209.11
10126,S10_1949,2018-05-28,38,192.87,7329.06
10140,S10_1949,2018-07-24,37,199.3,7374.1
10150,S10_1949,2018-09-19,45,244.3,10993.5
10163,S10_1949,2018-10-20,21,231.44,4860.24
10174,S10_1949,2018-11-06,34,235.73,8014.82
10183,S10_1949,2018-11-13,23,233.59,5372.57
10194,S10_1949,2018-11-25,42,173.58,7290.360000000001
10206,S10_1949,2018-12-05,47,192.87,9064.89
10215,S10_1949,2019-01-29,35,173.58,6075.3
10228,S10_1949,2019-03-10,29,222.87,6463.2300000000005
10245,S10_1949,2019-05-04,34,180.01,6120.34
10258,S10_1949,2019-06-15,32,240.02,7680.64
10270,S10_1949,2019-07-19,21,233.59,4905.39
10280,S10_1949,2019-08-17,34,235.73,8014.82
10291,S10_1949,2019-09-08,37,192.87,7136.1900000000005
10304,S10_1949,2019-10-11,47,216.44,10172.68
10312,S10_1949,2019-10-21,48,242.16,11623.68
10322,S10_1949,2019-11-04,40,150.01,6000.4
10347,S10_1949,2019-11-29,30,131.49,3944.7
10357,S10_1949,2019-12-10,32,177.87,5691.84
10369,S10_1949,2020-01-20,41,110.12,4514.92
10391,S10_1949,2020-03-09,24,100.69,2416.56
10411,S10_1949,2020-05-01,23,180.01,4140.23
10424,S10_1949,2020-05-31,50,240.02,12001.0
10107,S10_2016,2018-02-24,39,99.91,3896.49
10120,S10_2016,2018-04-29,29,96.34,2793.86
10134,S10_2016,2018-07-01,27,122.51,3307.77
10145,S10_2016,2018-08-25,37,140.35,5192.95
10168,S10_2016,2018-10-28,27,135.59,3660.93
10180,S10_2016,2018-11-11,42,111.8,4695.599999999999
10188,S10_2016,2018-11-18,38,96.34,3660.92
